Year,YearEnd,State_Abbr,State,Value_Type,Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1
2011,2011,NV,Nevada,Value,28.0,28.0,22.5,34.2,520.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,32,AGEYR,AGEYR2534
2011,2011,NV,Nevada,Value,8.0,8.0,3.3,18.1,63.0,,,,,,Other,OWS,OWS1,Q036,VALUE,32,RACE,RACEOTH
2011,2011,NV,Nevada,Value,31.1,31.1,23.6,39.8,219.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,32,RACE,RACEBLK
2011,2011,NV,Nevada,Value,59.2,59.2,40.3,75.7,55.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,32,RACE,RACENAA
2011,2011,NV,Nevada,Value,27.6,27.6,21.2,35.1,341.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,32,EDU,EDUHS
2011,2011,NV,Nevada,Value,29.7,29.7,24.4,35.7,805.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,32,INC,INC5075
2011,2011,NV,Nevada,Value,9.2,9.2,4.1,19.4,125.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,32,RACE,RACEASN
2011,2011,NV,Nevada,Value,24.2,24.2,19.4,29.8,786.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,32,INC,INC1525
2011,2011,NY,New York,Value,25.9,25.9,23.4,28.5,2042.0,,65 or older,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR65PLUS
2011,2011,NY,New York,Value,20.9,20.9,17.5,24.6,945.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,36,AGEYR,AGEYR2534
2011,2011,NY,New York,Value,26.3,26.3,22.7,30.3,894.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,36,RACE,RACEHIS
